file,issue_type,details
2002/fharry.html,missing_imdb_link,No IMDB link in film card
2002/fharry.html,missing_poster_reference,No poster image reference found
2002/fharry.html,thin_content,Modern content is 28% of legacy length (151 vs 526 chars)
2002/fhow.html,missing_director,No Director listed in film-credits
2002/fhow.html,missing_imdb_link,No IMDB link in film card
2002/fhow.html,missing_poster_reference,No poster image reference found
2002/finsomnia.html,empty_content,Article body has only 1 <p> tag(s)
2002/finsomnia.html,missing_director,No Director listed in film-credits
2002/finsomnia.html,missing_imdb_link,No IMDB link in film card
2002/finsomnia.html,missing_poster_reference,No poster image reference found
2002/finsomnia.html,thin_content,Modern content is 28% of legacy length (87 vs 303 chars)
2002/fkv02.html,missing_director,No Director listed in film-credits
2002/fkv02.html,missing_imdb_link,No IMDB link in film card
2002/fkv02.html,missing_poster_reference,No poster image reference found
2002/flastorders.html,missing_director,No Director listed in film-credits
2002/flastorders.html,missing_imdb_link,No IMDB link in film card
2002/flastorders.html,missing_poster_reference,No poster image reference found
2002/fmedem.html,missing_imdb_link,No IMDB link in film card
2002/fmedem.html,missing_poster_reference,No poster image reference found
2002/foscar02-1.html,missing_imdb_link,No IMDB link in film card
2002/foscar02-1.html,missing_poster_reference,No poster image reference found
2002/foscar02-2.html,missing_imdb_link,No IMDB link in film card
2002/foscar02-2.html,missing_poster_reference,No poster image reference found
2002/foscar02.html,empty_content,Article body has only 1 <p> tag(s)
2002/foscar02.html,missing_director,No Director listed in film-credits
2002/foscar02.html,missing_imdb_link,No IMDB link in film card
2002/foscar02.html,missing_poster_reference,No poster image reference found
2002/foscar02.html,thin_content,Modern content is 22% of legacy length (104 vs 470 chars)
2002/fpianist.html,missing_director,No Director listed in film-credits
2002/fpianist.html,missing_imdb_link,No IMDB link in film card
2002/fpianist.html,missing_poster_reference,No poster image reference found
2002/fpraise.html,empty_content,Article body has only 1 <p> tag(s)
2002/fpraise.html,missing_director,No Director listed in film-credits
2002/fpraise.html,missing_imdb_link,No IMDB link in film card
2002/fpraise.html,missing_poster_reference,No poster image reference found
2002/fpraise.html,thin_content,Modern content is 22% of legacy length (87 vs 394 chars)
2002/froyalt.html,empty_content,Article body has only 1 <p> tag(s)
2002/froyalt.html,missing_director,No Director listed in film-credits
2002/froyalt.html,missing_imdb_link,No IMDB link in film card
